,filename,img_hash,label,cell_X,cell_Y,cell_shape_orientation_rad,cell_shape_orientation_deg,cell_major_axis_length,cell_minor_axis_length,cell_eccentricity,cell_major_to_minor_ratio,cell_area,cell_perimeter,cell_corner_points,marker_mean_expression,marker_sum_expression,marker_centroid_X,marker_centroid_Y,marker_centroid_orientation_rad,marker_centroid_orientation_deg,nuc_X,nuc_Y,nuc_displacement_orientation_rad,nuc_displacement_orientation_deg,nuc_shape_orientation_rad,nuc_shape_orientation_deg,nuc_major_axis_length,nuc_minor_axis_length,nuc_area,nuc_perimeter,nuc_eccentricity,nuc_major_to_minor_ratio,organelle_X,organelle_Y,nuc_organelle_distance,organelle_orientation_rad,organelle_orientation_deg,marker_mean_expression_nuc,marker_sum_expression_nuc,marker_nucleus_orientation_rad,marker_nucleus_orientation_deg,marker_mean_expression_cyt,marker_sum_expression_cyt,marker_mean_expression_mem,marker_sum_expression_mem,junction_centroid_X,junction_centroid_Y,junction_perimeter,junction_protein_area,junction_mean_expression,junction_protein_intensity,junction_interface_linearity_index,junction_interface_occupancy,junction_intensity_per_interface_area,junction_cluster_density,morans_i,morans_p_norm,neighbors_cell,neighbors_mean_dif_1st,neighbors_median_dif_1st,neighbors_stddev_dif_1st,neighbors_range_dif_1st,neighbors_mean_dif_2nd,neighbors_median_dif_2nd,neighbors_stddev_dif_2nd,neighbors_range_dif_2nd,condition,nuclei_golgi_rad
277,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,102.0,681.7600720234076,763.7382399279766,1.7920503039753672,102.6769190929248,134.37358738277277,48.85445640218685,0.9315661520082849,2.75048782196168,4443.0,349.03657992645924,"[[766, 604], [750, 608], [750, 636], [737, 672], [740, 702], [748, 718], [799, 739], [763, 629]]",78.42561340332031,348445.00035095215,679.99007590868,766.0763793425074,0.6479727590983555,37.12610433578298,693.1385083713851,774.2237442922375,5.456969432098624,312.6613173911528,1.993359211520941,114.21106987367548,34.85837917351183,24.06242041091837,657.0,95.49747468305831,0.7235319852150363,1.4486647053051551,712.925925925926,774.8703703703703,19.79798016876149,4.745056004651964,271.87168261976626,108.7260284423828,71433.00068664551,2.3153767785088304,132.6613173911528,73.1674575805664,277011.9944000244,91.59584045410156,396609.98916625977,674.9944770953439,764.1271828345709,349.03657992645924,2605.0,429.0413513183594,1547261.0,1.067779753412767,0.6016166281755196,357.335103926097,593.9581573896353,0.0519100646882144,0.1687913245274235,4.0,818.25,778.0,1873.717611461236,4035.0,2576.75,2421.5,1374.732769486492,3674.0, flow,4.745056004651964
231,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,50.0,341.9677204412527,117.4466572888132,2.0089139840431285,115.10229269048288,170.82777989982293,110.77929222355344,0.7612272366565813,1.542055166367115,13507.0,505.7716446627535,"[[116, 250], [101, 258], [82, 291], [55, 315], [45, 346], [45, 353], [130, 413], [161, 419], [186, 414], [153, 303], [126, 255]]",73.68416595458984,995252.029548645,343.4466707929248,120.79003609136178,5.866709619844857,336.13770084591,357.9298365122616,143.07970027247956,5.7262298217720495,328.0888013094881,1.879103622611952,107.66470684340868,54.61750076615456,34.33710875455097,1468.0,146.46803743153546,0.7776614631269897,1.590626082020248,361.5574324324325,119.32601351351352,24.029088347316023,3.293138919263711,188.6829614240838,126.02997589111328,185012.0046081543,2.584637168182256,148.08880130948802,67.30126953125,810239.9838867188,79.0689926147461,468720.9882202149,343.6862760609962,117.30525024379294,505.7716446627535,3270.0,375.8258972167969,1770804.0,1.0671528768209604,0.5516194331983806,298.7186234817814,541.5302752293578,0.0519100646882144,0.1687913245274235,7.0,-4441.428571428572,-7863.0,7046.873630141502,21264.0,-6968.333333333333,-7204.5,2577.98013094662,10975.0, flow,3.293138919263711
232,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,51.0,316.9504697986577,966.686845637584,1.7738118159884857,101.6319307065764,119.67357958632054,85.13875610809876,0.7027622002677086,1.4056298806430023,7450.0,372.6345596729059,"[[968, 250], [942, 254], [922, 354], [991, 370], [1021, 317], [979, 278]]",75.8248291015625,564894.9768066406,317.16674957292946,967.7973818143196,6.090840407118846,348.97944901565404,315.98285714285714,977.9257142857144,0.0858834185863863,4.92075741515535,1.381022846678536,79.1267805258227,37.84042912456149,29.54156029889972,875.0,109.49747468305831,0.6249212773559711,1.2809218179979092,319.0330188679245,958.938679245283,19.230470253627026,3.300876212500952,189.1262756714328,128.37942504882812,112331.9969177246,3.22747607217618,184.9207574151553,68.83087158203125,452562.98065185547,77.77986145019531,348375.9994354248,316.8721304902602,967.9784810928078,372.6345596729059,2557.0,380.41595458984375,1371561.0,1.07258658033745,0.5708863585621791,306.22036168787673,536.3946030504497,0.0519100646882144,0.1687913245274235,4.0,-3404.25,-2814.5,1126.7908801104134,2714.0,240.0,-1046.0,2889.328987844756,7783.0, flow,3.300876212500952
233,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,52.0,338.6629659000793,218.4255352894528,2.992824178683726,171.47619426328447,146.4073240231321,123.30671314231698,0.5391389448840666,1.1873426863154894,12610.0,521.4041122946064,"[[134, 269], [154, 303], [187, 414], [213, 406], [229, 387], [280, 369], [293, 327], [288, 299], [175, 287]]",74.3297348022461,937297.9558563232,336.5200267150896,216.53408094330723,2.2939398131772064,131.43306975208247,325.0630114566285,217.33878887070367,1.6505349888869476,94.56868880189434,1.7252244344094274,98.84807880450472,46.13154132486453,34.14320335859446,1222.0,131.98275605729688,0.6724670201546287,1.351119308881496,322.89402173913044,193.6413043478261,23.796539435527983,3.0503186987468687,174.77038760803276,119.97135925292967,146605.00100708008,4.792127642476741,274.5686888018943,69.43212127685547,790692.9971008301,73.76738739013672,470931.0010986328,332.6363514154606,211.99214433619355,521.4041122946064,3275.0,340.0916442871094,1637401.0,1.0593449285161565,0.5130012531328321,256.48511904761904,499.9697709923664,0.0519100646882144,0.1687913245274235,6.0,-5725.5,-6739.0,3076.256802782672,9213.0,-5484.090909090909,-6500.0,5896.744285921996,22999.0, flow,3.0503186987468687
234,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,53.0,381.49751522924015,620.5199583199743,1.4900336139435837,85.37263741159278,190.65075958479983,86.82683285259051,0.8902749303879893,2.195758538244456,12476.0,496.99599538664313,"[[622, 279], [579, 350], [569, 408], [580, 434], [612, 468], [655, 471], [653, 401], [664, 328], [650, 301]]",75.69750213623047,944402.0366516112,384.1658446297233,622.115721906561,5.251364918396924,300.88104650720567,394.60271903323263,634.4463746223565,5.5281575024758345,316.74009337544726,1.3791280222310265,79.01821508206218,53.88861765830054,31.55920350175246,1324.0,141.39696961967,0.810572970710475,1.7075404851490672,392.4913294797688,614.4248554913295,20.13254067822932,3.0365249784646706,173.98006565207882,147.48036193847656,195263.99920654297,2.3865648488860414,136.74009337544726,67.17521667480469,749138.0163574219,77.99087524414062,470128.9959716797,380.06328176453326,622.6101019456285,496.99599538664313,3916.0,369.19342041015625,1866953.0,1.0579707768827684,0.6496350364963503,309.713503649635,476.75,0.0519100646882144,0.1687913245274235,6.0,-4842.333333333333,-5111.5,3122.840035750933,10590.0,-5621.375,-6164.0,2410.137907750301,8249.0, flow,3.0365249784646706
235,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,54.0,366.9438070404172,708.854889178618,1.9155808302643365,109.7546968903126,182.24713296996512,56.52926728749832,0.9506781120882644,3.223942954064608,7670.0,430.5107140124046,"[[708, 284], [676, 293], [665, 334], [694, 400], [725, 444], [745, 451], [757, 425], [734, 379]]",75.98109436035156,582774.9937438965,362.9571635708464,708.4089571446956,1.682189798440861,96.38237579062395,333.9443005181347,703.3056994818653,1.7373974086684816,99.5455388536699,1.5953289574906753,91.4056161992212,35.54200217231445,27.679671477036315,772.0,102.66904755831214,0.6272876807169926,1.2840471102339817,343.4909090909091,689.1018181818182,17.113970294107602,3.733356095752054,213.9055477060316,93.75518035888672,72378.99923706055,4.878990062258275,279.54553885366994,73.99188232421875,510396.00427246094,82.0281982421875,424659.9822998047,364.95951932650286,709.860553706932,430.5107140124046,2944.0,399.3042297363281,1646256.0,1.0726458814782311,0.5686691133861309,317.9942051381109,559.1902173913044,0.0519100646882144,0.1687913245274235,6.0,1266.5,314.5,2814.4683778646368,7443.0,207.28571428571428,63.0,3114.2996788677738,10590.0, flow,3.733356095752054
236,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,55.0,373.4812508648125,394.0860661408607,1.2531418881949836,71.79974132462743,157.25000313042898,62.6052770668766,0.9173308448524496,2.511769143077993,7227.0,411.2680733252853,"[[413, 289], [387, 309], [379, 355], [351, 381], [365, 452], [400, 426], [419, 392], [437, 378]]",73.69351196289062,532583.0109558105,379.69845075791005,391.8163873048896,4.362357228107679,249.94465789895847,395.0362903225807,393.6545698924731,4.692373307267808,268.8531864062892,1.6166705282584632,92.62839813239523,37.31096478820623,25.40731343332404,744.0,101.25483399593904,0.7323196435023299,1.4685127920400056,404.5829596412556,378.0044843049328,18.33205045753113,3.6893381210035816,211.38350353023063,100.04704284667967,74434.99987792969,1.5507806536780149,88.85318640628921,70.66913604736328,458148.00899505615,80.76713562011719,394708.9917755127,373.2326740961414,392.3728984952275,411.2680733252853,2729.0,371.6756591796875,1448933.0,1.0610582138044895,0.5584202987517904,296.487210967874,530.9391718578233,0.0519100646882144,0.1687913245274235,5.0,17.8,-563.0,3464.6092651264444,10095.0,1422.5454545454545,-1049.0,5864.851983928361,20441.0, flow,3.6893381210035816
237,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,56.0,360.2383177570093,314.33119158878503,1.5177410228267012,86.96015500183873,140.51918743443235,64.16004978355,0.8896757900968704,2.190135261872258,6848.0,368.2203461105328,"[[291, 293], [294, 327], [281, 376], [298, 427], [307, 437], [349, 382], [335, 304]]",79.34491729736328,543353.9936523438,355.8881429049938,314.9758757642348,1.4236698737411797,81.57027518529239,348.2220762155059,323.826544021025,0.9020535617158418,51.68386198106148,1.5746867141221204,90.22290277452112,38.00823988146652,25.571228324925176,761.0,103.59797974644664,0.7398415298074132,1.4863673891026403,351.63966480446925,308.3966480446927,15.803847683518304,3.3595650196325195,192.4888966247289,108.16951751708984,82317.00283050537,4.043646215305635,231.6838619810615,75.74124908447266,461036.98317718506,78.63375854492188,353616.0121765137,360.0074131128607,315.21934268151927,368.2203461105328,2068.0,345.9835510253906,1135566.0,1.0647043183976663,0.4598621303090949,252.51634422948632,549.1131528046421,0.0519100646882144,0.1687913245274235,5.0,-297.0,-602.0,3314.918520868952,9669.0,3345.8888888888887,787.0,5997.418137914652,20144.0, flow,3.3595650196325195
238,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,57.0,331.95103706222375,361.7823869432166,1.6078757533339778,92.12449464745472,88.21860259065124,46.66410787077891,0.8486467864982082,1.89050228571698,2941.0,237.3380951166243,"[[345, 294], [336, 301], [350, 380], [373, 365], [386, 331], [385, 309]]",101.15097045898438,297485.00411987305,329.7583306721347,361.76156444862767,1.58029229433569,90.54407886248067,329.7009493670886,369.6914556962025,0.2771717023256279,15.880768743714864,1.1528203697680697,66.05174172442135,35.9538942110114,22.44450494511926,632.0,95.49747468305831,0.7812182724918092,1.6019018596723325,317.9122807017544,360.65497076023394,14.853644970141806,2.224799209203326,127.47160495139372,125.71835327148438,79453.99926757812,3.418764355915421,195.88076874371487,94.42658996582033,218030.9962310791,89.14875793457031,261295.0095062256,331.4738137276688,358.6360024023187,237.3380951166243,1765.0,399.49505615234375,964147.0,1.0776583140817189,0.6021835551006482,328.9481405663596,546.2589235127479,0.0519100646882144,0.1687913245274235,4.0,5502.75,4096.5,2659.096122275387,6372.0,5455.818181818182,3237.0,5782.79749567915,20766.0, flow,2.224799209203326
239,image_#01,8f72bf04d70c2525de338a0e4356756e301a8b1a,58.0,381.0695158716084,495.94360702252175,1.7126632836965414,98.1283778828286,160.60074358217605,46.11987782810603,0.9578793299288512,3.482245642123188,5639.0,383.56349186104046,"[[483, 298], [466, 351], [489, 447], [509, 459], [526, 409], [502, 312]]",89.82124328613281,506501.9908905029,383.931532353278,496.9213013966381,5.0415702370282,288.860696700486,390.985315712188,502.7474302496329,5.313765700220444,304.4563479440101,1.8566639179919813,106.37900647516412,39.163440448231455,22.170668847911653,681.0,101.25483399593904,0.8243322758628102,1.766452817318609,397.7239583333333,490.078125,14.349933793711104,3.630423503082469,208.0079445717251,107.201171875,73003.998046875,2.1721730466306512,124.45634794401008,87.43404388427734,433497.9895782471,92.42835998535156,436724.0009307861,380.637661863825,494.1229328357721,383.56349186104046,2873.0,454.0584106445313,1782124.0,1.0833992767339813,0.608042328042328,377.16910052910055,620.3007309432649,0.0519100646882144,0.1687913245274235,8.0,1116.75,754.5,3403.450445871072,12559.0,1464.2,1293.0,3393.9102364873074,11371.0, flow,3.630423503082469
